known_relationship,loci_set,n,mean_log10_LR,median_log10_LR,sd_log10_LR,q25,q75
parent_child,core_13,2500,4.5372219035871,4.54585779130129,0.555664942814714,4.17113429397505,4.89286333014329
parent_child,identifiler_15,2500,5.22989910050825,5.23532192564606,0.597076830950391,4.82821657759497,5.63150154640147
parent_child,expanded_20,2500,6.99164483933017,6.98364857356603,0.681179262250339,6.53581755927843,7.46655777405105
parent_child,supplementary,2500,8.06081416228752,8.07632094990465,0.743441723814111,7.55677343265249,8.5553525825526
parent_child,autosomal_29,2500,10.1251451251694,10.1238945625854,0.844983671863166,9.54575090502187,10.6937519515847
full_siblings,core_13,2500,3.26052903519699,3.26337641364208,0.730104592224912,2.76853440278684,3.74120122192257
full_siblings,identifiler_15,2500,3.76172239245108,3.77295826341598,0.804564802780588,3.19566832998269,4.33952923216289
full_siblings,expanded_20,2500,5.00667660232044,5.00266881130811,0.894032102461722,4.39376392514856,5.60752417641304
full_siblings,supplementary,2500,5.77359823521629,5.76287892257845,0.952059607774546,5.12556822395511,6.41680940842517
full_siblings,autosomal_29,2500,7.24250369845113,7.24935784793594,1.08431131012011,6.47937292726865,7.99012902364857
half_siblings,core_13,2500,0.804460644103815,0.813597221478551,0.904600984863043,0.204202064086763,1.41882539077514
half_siblings,identifiler_15,2500,0.92575380662217,0.933278308791608,0.971332027240122,0.278112793880145,1.55545511871938
half_siblings,expanded_20,2500,1.28647590841836,1.26669113568865,1.11330577261751,0.529827768651079,2.05534574904087
half_siblings,supplementary,2500,1.40001180231935,1.4203403223551,1.20278952735514,0.582499883907692,2.15433936735568
half_siblings,autosomal_29,2500,1.84665729356414,1.85325877834271,1.35783838341541,0.941749698291211,2.76545579532779
cousins,core_13,2500,-3.01365852976168,-2.98748335966693,0.718588322421788,-3.51001837158761,-2.51635738292723
cousins,identifiler_15,2500,-3.45563647481908,-3.46050905712256,0.7596850696415,-3.95114650273852,-2.93793417681683
cousins,expanded_20,2500,-4.63317539864336,-4.61727156741669,0.921535096443951,-5.26361677321948,-4.01691244961542
cousins,supplementary,2500,-5.35265973207157,-5.34350505538729,0.949012788716955,-5.96581079372611,-4.7210898028697
cousins,autosomal_29,2500,-6.70110601022812,-6.68591863587994,1.0945898315355,-7.46285473557382,-5.9527260788007
second_cousins,core_13,2500,-3.69788332212662,-3.70591523587892,0.655138242217612,-4.11697490317839,-3.26141735993812
second_cousins,identifiler_15,2500,-4.25221897020503,-4.24584401868486,0.680546354074047,-4.70110015614529,-3.79222759461942
second_cousins,expanded_20,2500,-5.66037132613196,-5.64426009957486,0.812917860106133,-6.19241685721218,-5.14260676193952
second_cousins,supplementary,2500,-6.52459634307166,-6.4904254387819,0.870747108837885,-7.12289140190202,-5.93851486889992
second_cousins,autosomal_29,2500,-8.1897534181915,-8.17262202619917,0.987607561443668,-8.86232504511809,-7.51072124108955
unrelated,core_13,2500,-4.42777251530151,-4.42243745549824,0.555707318046869,-4.8004870855174,-4.05135757609558
unrelated,identifiler_15,2500,-5.08836374028293,-5.09515814764237,0.580709362722056,-5.48259038554478,-4.70617170454459
unrelated,expanded_20,2500,-6.79826601188814,-6.79323569733934,0.678927641539584,-7.2663022273524,-6.33473583263482
unrelated,supplementary,2500,-7.86137538205216,-7.87329364354905,0.752288315321108,-8.35784844732948,-7.36267033743546
unrelated,autosomal_29,2500,-9.87109008704712,-9.85859636655053,0.825589961457528,-10.3957896373207,-9.33518674584777
